/var/lib/asterisk/sounds,access-denied,access-denied,.
/var/lib/asterisk/sounds,access-granted,access-granted,.
/var/lib/asterisk/sounds,activated,activated,.
/var/lib/asterisk/sounds,added,added,.
/var/lib/asterisk/sounds,added-to,added-to,.
/var/lib/asterisk/sounds,address,address,.
/var/lib/asterisk/sounds,advised-to-seek-shelter,advised to seek shelter,.
/var/lib/asterisk/sounds,afternoon,afternoon,.
/var/lib/asterisk/sounds,airport,airport,.
/var/lib/asterisk/sounds,alabama,alabama,.
/var/lib/asterisk/sounds,alaska,alaska,.
/var/lib/asterisk/sounds,albuquerque,albuquerque,.
/var/lib/asterisk/sounds,alert,alert,.
/var/lib/asterisk/sounds,altitude,altitude,.
/var/lib/asterisk/sounds,ampersand,ampersand,.
/var/lib/asterisk/sounds,and,and,.
/var/lib/asterisk/sounds,and-or,and-or,.
/var/lib/asterisk/sounds,an-error-has-occured,an-error-has-occured,.
/var/lib/asterisk/sounds,an-error-has-occurred,an-error-has-occurred,.
/var/lib/asterisk/sounds,another-time,another-time,.
/var/lib/asterisk/sounds,approaching,approaching,.
/var/lib/asterisk/sounds,approximately,approximately,.
/var/lib/asterisk/sounds,arizona,arizona,.
/var/lib/asterisk/sounds,arkansas,arkansas,.
/var/lib/asterisk/sounds,arlington,arlington,.
/var/lib/asterisk/sounds,at-any-time,at-any-time,.
/var/lib/asterisk/sounds,athletics,athletics,.
/var/lib/asterisk/sounds,atlanta,atlanta,.
/var/lib/asterisk/sounds,atlantic,atlantic,.
/var/lib/asterisk/sounds,at-sign,at-sign,.
/var/lib/asterisk/sounds,attention-required,attention-required,.
/var/lib/asterisk/sounds,at-tone-time-exactly,at-tone-time-exactly,.
/var/lib/asterisk/sounds,auditing,auditing,.
/var/lib/asterisk/sounds,austin,austin,.
/var/lib/asterisk/sounds,available,available,.
/var/lib/asterisk/sounds,available-options,available-options,.
/var/lib/asterisk/sounds,backslash,backslash,.
/var/lib/asterisk/sounds,bad,bad,.
/var/lib/asterisk/sounds,baltimore,baltimore,.
/var/lib/asterisk/sounds,bar,bar,.
/var/lib/asterisk/sounds,barn,barn,.
/var/lib/asterisk/sounds,barns,barns,.
/var/lib/asterisk/sounds,barometric,barometric,.
/var/lib/asterisk/sounds,bearing,bearing,.
/var/lib/asterisk/sounds,beaufort,beaufort,.
/var/lib/asterisk/sounds,beep,beep,.
/var/lib/asterisk/sounds,beeperr,beeperr,.
/var/lib/asterisk/sounds,billing,billing,.
/var/lib/asterisk/sounds,billionth,billionth,.
/var/lib/asterisk/sounds,bits,bits,.
/var/lib/asterisk/sounds,bookstore,bookstore,.
/var/lib/asterisk/sounds,boston,boston,.
/var/lib/asterisk/sounds,box,box,.
/var/lib/asterisk/sounds,brian,brian,.
/var/lib/asterisk/sounds,but,but,.
/var/lib/asterisk/sounds,by,by,.
/var/lib/asterisk/sounds,bytes,bytes,.
/var/lib/asterisk/sounds,cafeteria,cafeteria,.
/var/lib/asterisk/sounds,california,california,.
/var/lib/asterisk/sounds,call,call,.
/var/lib/asterisk/sounds,calling,calling,.
/var/lib/asterisk/sounds,calls,calls,.
/var/lib/asterisk/sounds,cancelled,cancelled,.
/var/lib/asterisk/sounds,celsius,celsius,.
/var/lib/asterisk/sounds,cent,cent,.
/var/lib/asterisk/sounds,central,central,.
/var/lib/asterisk/sounds,cents,cents,.
/var/lib/asterisk/sounds,chance-of,chance-of,.
/var/lib/asterisk/sounds,changing,changing,.
/var/lib/asterisk/sounds,channel,channel,.
/var/lib/asterisk/sounds,charlotte,charlotte,.
/var/lib/asterisk/sounds,chemistry,chemistry,.
/var/lib/asterisk/sounds,chicago,chicago,.
/var/lib/asterisk/sounds,chris,chris,.
/var/lib/asterisk/sounds,claims,claims,.
/var/lib/asterisk/sounds,clear,clear,.
/var/lib/asterisk/sounds,clearing,clearing,.
/var/lib/asterisk/sounds,cleveland,cleveland,.
/var/lib/asterisk/sounds,clli,clli,.
/var/lib/asterisk/sounds,close-parenthesis,close-parenthesis,.
/var/lib/asterisk/sounds,clouds,clouds,.
/var/lib/asterisk/sounds,cloudy,cloudy,.
/var/lib/asterisk/sounds,collections,collections,.
/var/lib/asterisk/sounds,colorado,colorado,.
/var/lib/asterisk/sounds,colorado-springs,colorado-springs,.
/var/lib/asterisk/sounds,columbus,columbus,.
/var/lib/asterisk/sounds,comma,comma,.
/var/lib/asterisk/sounds,communications,communications,.
/var/lib/asterisk/sounds,complaint,complaint,.
/var/lib/asterisk/sounds,compliance,compliance,.
/var/lib/asterisk/sounds,computer-friend1,computer-friend1,.
/var/lib/asterisk/sounds,computer-friend2,computer-friend2,.
/var/lib/asterisk/sounds,conditions,conditions,.
/var/lib/asterisk/sounds,connected,connected,.
